,Population,Ward Office,Ward Name
Ward No.108,12827,Warje,Dahanukar Colony
Ward No.109,35401,Warje,Warje Jal Shudhikaran Prakalpa
Ward No.110,38951,Warje,Popularnagar Warje
Ward No.111,26155,Warje,Warje  Malwadi
Ward No.112,24492,Warje,Maharshi karve Nagar
Ward No.113,21971,Warje,Higne Steri Shikshan Sanstha
Ward No.114,17964,Tilakroad,Janta Vasahat
Ward No.115,16330,Sahakarnagar,Shau Collage
Ward No.116,15033,Sahakarnagar,Parvati Industrial Estate
Ward No.117,16021,Sahakarnagar,Maharshi Nagar
Ward No.118,18923,Sahakarnagar,Chatrapati Shivaji Marketyard
Ward No.119,22201,Sahakarnagar,D.A.D Colony
Ward No.120,25014,Bibvewadi,Kondhva Khurd
Ward No.121,34937,Bibvewadi,N.I.B.M
Ward No.122,49363,Bibvewadi,Mithanagar
Ward No.123,24791,Bibvewadi,Bibvewadi
Ward No.124,20316,Sahakarnagar,Shankar Maharaj Math
Ward No.125,20700,Sahakarnagar,Padmavati -Areneshwar
Ward No.126,18853,Sahakarnagar,Taljai Mandir
Ward No.127,25783,Tilakroad,Anandnagar -Higne Khurd
Ward No.128,36080,Tilakroad,Vitthalwadi
Ward No.129,44678,Tilakroad,Vadgaon Dhayari
Ward No.130,25876,Tilakroad,Vadgaon Budruk
Ward No.131,20666,Tilakroad,Manikbaug
Ward No.132,26685,Dhankawadi,Chavannagar
Ward No.133,23888,Dhankawadi,Dhankawadi Ambegaon Pathar
Ward No.134,25148,Dhankawadi,Dhankawadi Gaon
Ward No.135,15030,Dhankawadi,Chaitanya Nagar Dhankawadi
Ward No.136,19916,Dhankawadi,Balajinagar
Ward No.137,31390,Bibvewadi,Sukhsagarnagar
Ward No.138,16457,Bibvewadi,Vishwakarma Institute (Bibvewadi)
Ward No.139,35527,Bibvewadi,Upper Indiranagar Bibvewadi
Ward No.140,45476,Bibvewadi,Kondhva Budrukh
Ward No.141,41214,Dhankawadi,Katraj Gaon
Ward No.142,17067,Dhankawadi,Rajiv Gandhi Pranisangrhalya
Ward No.143,40938,Dhankawadi,Bharti Vidhyapeeth
Ward No.144,26762,Dhankawadi,Agam Mandir Katraj
Total,3124458,,
